match_id,season,venue,team1,team2,toss_winner,toss_decision,batting_first_team,bowling_first_team,first_innings_score,first_innings_wickets,second_innings_score,second_innings_wickets,winner,win_by_runs,win_by_wickets,player_of_match_runs,player_of_match_wickets
140,2017,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,Mumbai Indians,192,7,141,7,Chennai Super Kings,51,0,60,1
141,2017,M. Chinnaswamy Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Punjab Kings,Chennai Super Kings,186,5,164,8,Punjab Kings,22,0,40,1
142,2017,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,Mumbai Indians,173,7,134,6,Kolkata Knight Riders,39,0,69,0
143,2017,M.A. Chidambaram Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Royal Challengers Bangalore,168,6,135,6,Sunrisers Hyderabad,33,0,43,2
144,2017,Sawai Mansingh Stadium,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Kolkata Knight Riders,Chennai Super Kings,215,10,168,7,Kolkata Knight Riders,47,0,94,0
145,2017,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Punjab Kings,193,8,92,6,Royal Challengers Bangalore,101,0,84,0
146,2017,Eden Gardens,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Royal Challengers Bangalore,Chennai Super Kings,202,4,148,3,Royal Challengers Bangalore,54,0,93,0
147,2017,M.A. Chidambaram Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Kolkata Knight Riders,223,5,134,10,Royal Challengers Bangalore,89,0,88,1
148,2017,M. Chinnaswamy Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,Delhi Capitals,197,6,142,10,Mumbai Indians,55,0,53,0
149,2017,Eden Gardens,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,Rajasthan Royals,188,8,119,7,Chennai Super Kings,69,0,37,3
150,2017,M.A. Chidambaram Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Rajasthan Royals,192,4,135,3,Sunrisers Hyderabad,57,0,91,2
151,2017,M.A. Chidambaram Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,Rajasthan Royals,228,5,149,5,Chennai Super Kings,79,0,39,2
152,2017,Arun Jaitley Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,Rajasthan Royals,191,6,122,8,Delhi Capitals,69,0,50,2
153,2017,M. Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,Sunrisers Hyderabad,202,10,145,6,Delhi Capitals,57,0,51,2
154,2017,M. Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Royal Challengers Bangalore,Rajasthan Royals,195,7,106,7,Royal Challengers Bangalore,89,0,51,2
155,2017,Rajiv Gandhi Stadium,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Punjab Kings,187,5,125,4,Kolkata Knight Riders,62,0,45,3
156,2017,Punjab Cricket Association Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,Mumbai Indians,191,6,149,5,Rajasthan Royals,42,0,70,3
157,2017,M.A. Chidambaram Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,Royal Challengers Bangalore,185,7,134,5,Rajasthan Royals,51,0,45,2
158,2017,Rajiv Gandhi Stadium,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Delhi Capitals,Kolkata Knight Riders,188,9,122,7,Delhi Capitals,66,0,83,3
159,2017,Arun Jaitley Stadium,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,Royal Challengers Bangalore,Punjab Kings,179,5,110,9,Royal Challengers Bangalore,69,0,33,3
160,2017,Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Delhi Capitals,Chennai Super Kings,173,9,128,4,Delhi Capitals,45,0,60,3
161,2017,Rajiv Gandhi Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,Chennai Super Kings,196,6,156,3,Punjab Kings,40,0,74,0
162,2017,Rajiv Gandhi Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,Sunrisers Hyderabad,199,5,99,4,Mumbai Indians,100,0,32,0
163,2017,M. Chinnaswamy Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad,Kolkata Knight Riders,192,8,126,10,Sunrisers Hyderabad,66,0,66,3
164,2017,Arun Jaitley Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Royal Challengers Bangalore,205,9,124,3,Sunrisers Hyderabad,81,0,83,1
165,2017,M. Chinnaswamy Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,Punjab Kings,188,5,100,10,Mumbai Indians,88,0,45,1
166,2017,Arun Jaitley Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Kolkata Knight Riders,166,5,129,3,Royal Challengers Bangalore,37,0,36,1
167,2017,Rajiv Gandhi Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,Punjab Kings,198,5,100,7,Chennai Super Kings,98,0,32,2
168,2017,Punjab Cricket Association Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,Sunrisers Hyderabad,172,5,102,3,Kolkata Knight Riders,70,0,62,0
169,2018,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,Royal Challengers Bangalore,191,4,112,4,Chennai Super Kings,79,0,34,1
170,2018,Rajiv Gandhi Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,Kolkata Knight Riders,192,6,117,10,Rajasthan Royals,75,0,92,0
171,2018,Sawai Mansingh Stadium,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings,Punjab Kings,179,4,115,10,Chennai Super Kings,64,0,87,3
172,2018,Punjab Cricket Association Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bangalore,Delhi Capitals,192,4,110,5,Royal Challengers Bangalore,82,0,79,2
173,2018,Punjab Cricket Association Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,Rajasthan Royals,207,10,142,9,Chennai Super Kings,65,0,77,1
174,2018,M.A. Chidambaram Stadium,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Royal Challengers Bangalore,Chennai Super Kings,215,10,159,10,Royal Challengers Bangalore,56,0,37,0
175,2018,Sawai Mansingh Stadium,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings,Punjab Kings,171,4,121,9,Chennai Super Kings,50,0,50,1
176,2018,Eden Gardens,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Chennai Super Kings,187,9,150,7,Royal Challengers Bangalore,37,0,90,3
177,2018,Arun Jaitley Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Punjab Kings,Rajasthan Royals,169,5,108,8,Punjab Kings,61,0,32,3
178,2018,Wankhede Stadium,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Royal Challengers Bangalore,Chennai Super Kings,189,6,152,3,Royal Challengers Bangalore,37,0,52,3
179,2018,Rajiv Gandhi Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Mumbai Indians,Rajasthan Royals,167,7,134,9,Mumbai Indians,33,0,68,1
180,2018,Punjab Cricket Association Stadium,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians,Delhi Capitals,193,8,104,5,Mumbai Indians,89,0,86,0
181,2018,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,Royal Challengers Bangalore,211,6,138,9,Mumbai Indians,73,0,88,2
182,2018,Eden Gardens,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bangalore,Delhi Capitals,187,9,115,4,Royal Challengers Bangalore,72,0,51,3
183,2018,Wankhede Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Kolkata Knight Riders,187,10,143,3,Sunrisers Hyderabad,44,0,48,2
184,2018,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,Mumbai Indians,192,4,127,6,Royal Challengers Bangalore,65,0,37,1
185,2018,Rajiv Gandhi Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,Mumbai Indians,197,9,136,4,Rajasthan Royals,61,0,50,0
186,2018,M. Chinnaswamy Stadium,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Punjab Kings,Mumbai Indians,198,10,184,10,Punjab Kings,14,0,83,3
187,2018,Punjab Cricket Association Stadium,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Kolkata Knight Riders,Delhi Capitals,179,10,128,6,Kolkata Knight Riders,51,0,57,3
188,2018,M.A. Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,180,4,141,4,Sunrisers Hyderabad,39,0,46,0
189,2018,M.A. Chidambaram Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Rajasthan Royals,Chennai Super Kings,181,8,173,6,Rajasthan Royals,8,0,85,0
190,2018,Punjab Cricket Association Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,155,9,88,4,Kolkata Knight Riders,67,0,83,1
191,2018,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians,Royal Challengers Bangalore,192,10,116,8,Mumbai Indians,76,0,74,0
192,2018,M. Chinnaswamy Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,field,Mumbai Indians,Punjab Kings,194,9,119,9,Mumbai Indians,75,0,59,0
193,2018,Arun Jaitley Stadium,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,Royal Challengers Bangalore,192,7,113,3,Punjab Kings,79,0,44,0
194,2018,Eden Gardens,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Punjab Kings,194,7,124,5,Royal Challengers Bangalore,70,0,56,0
195,2018,M.A. Chidambaram Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Rajasthan Royals,Chennai Super Kings,179,10,136,4,Rajasthan Royals,43,0,91,0
196,2018,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Royal Challengers Bangalore,Kolkata Knight Riders,191,9,131,6,Royal Challengers Bangalore,60,0,61,2
197,2018,Eden Gardens,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,Delhi Capitals,186,10,114,4,Mumbai Indians,72,0,85,3
198,2018,Rajiv Gandhi Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Mumbai Indians,204,6,139,3,Royal Challengers Bangalore,65,0,67,3
199,2018,Arun Jaitley Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Royal Challengers Bangalore,187,6,116,7,Sunrisers Hyderabad,71,0,33,1
200,2018,Eden Gardens,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,Chennai Super Kings,169,5,132,7,Mumbai Indians,37,0,66,1
201,2018,M. Chinnaswamy Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Punjab Kings,Rajasthan Royals,209,8,107,8,Punjab Kings,102,0,82,2
202,2018,M.A. Chidambaram Stadium,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,Kolkata Knight Riders,198,7,124,5,Punjab Kings,74,0,30,3
203,2018,Arun Jaitley Stadium,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Chennai Super Kings,Kolkata Knight Riders,184,5,107,5,Chennai Super Kings,77,0,66,2
204,2018,Rajiv Gandhi Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bangalore,Rajasthan Royals,183,9,92,7,Royal Challengers Bangalore,91,0,40,2
205,2018,Arun Jaitley Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Rajasthan Royals,187,9,131,9,Royal Challengers Bangalore,56,0,84,1
206,2018,Eden Gardens,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Delhi Capitals,Sunrisers Hyderabad,190,6,121,4,Delhi Capitals,69,0,80,2
207,2018,Punjab Cricket Association Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,Mumbai Indians,182,10,124,8,Chennai Super Kings,58,0,88,0
208,2018,M.A. Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,Mumbai Indians,180,9,151,7,Chennai Super Kings,29,0,70,3
209,2018,M.A. Chidambaram Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,Kolkata Knight Riders,174,8,116,3,Rajasthan Royals,58,0,44,0
210,2018,Eden Gardens,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,Punjab Kings,176,7,121,8,Mumbai Indians,55,0,32,1
211,2018,Eden Gardens,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Punjab Kings,195,9,113,6,Royal Challengers Bangalore,82,0,42,3
212,2018,Rajiv Gandhi Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,Chennai Super Kings,182,10,134,3,Delhi Capitals,48,0,46,0
213,2018,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,Kolkata Knight Riders,164,5,119,6,Mumbai Indians,45,0,83,3
214,2018,M. Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Chennai Super Kings,181,10,162,8,Royal Challengers Bangalore,19,0,63,1
215,2018,Wankhede Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,Rajasthan Royals,Punjab Kings,204,4,140,9,Rajasthan Royals,64,0,79,3
216,2018,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Mumbai Indians,177,7,146,4,Royal Challengers Bangalore,31,0,44,2
217,2018,M.A. Chidambaram Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad,Mumbai Indians,201,5,159,9,Sunrisers Hyderabad,42,0,52,0
218,2018,Arun Jaitley Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Kolkata Knight Riders,Mumbai Indians,210,8,143,4,Kolkata Knight Riders,67,0,46,0
219,2018,M.A. Chidambaram Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,Delhi Capitals,202,10,120,4,Mumbai Indians,82,0,45,0
220,2018,M. Chinnaswamy Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,197,7,141,8,Mumbai Indians,56,0,73,0
221,2018,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians,Royal Challengers Bangalore,201,10,151,7,Mumbai Indians,50,0,75,0
222,2018,Eden Gardens,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Royal Challengers Bangalore,Sunrisers Hyderabad,181,8,120,5,Royal Challengers Bangalore,61,0,54,3
223,2018,Punjab Cricket Association Stadium,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Delhi Capitals,Punjab Kings,181,5,124,5,Delhi Capitals,57,0,76,1
224,2018,M.A. Chidambaram Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,Royal Challengers Bangalore,187,10,124,5,Rajasthan Royals,63,0,61,2
225,2019,Punjab Cricket Association Stadium,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,Kolkata Knight Riders,Punjab Kings,194,7,149,9,Kolkata Knight Riders,45,0,73,1
226,2019,Rajiv Gandhi Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,Punjab Kings,Royal Challengers Bangalore,176,5,109,3,Punjab Kings,67,0,55,0
227,2019,Punjab Cricket Association Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,Kolkata Knight Riders,193,10,137,6,Sunrisers Hyderabad,56,0,83,3
228,2019,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Royal Challengers Bangalore,Kolkata Knight Riders,169,8,122,4,Royal Challengers Bangalore,47,0,50,1
229,2019,M. Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,Royal Challengers Bangalore,167,6,111,6,Chennai Super Kings,56,0,62,0
230,2019,Arun Jaitley Stadium,Chennai Super Kings,Punjab Kings,Punjab Kings,bat,Punjab Kings,Chennai Super Kings,160,6,127,4,Punjab Kings,33,0,91,0
231,2019,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,Punjab Kings,207,6,108,7,Sunrisers Hyderabad,99,0,46,2
232,2019,Punjab Cricket Association Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,Rajasthan Royals,201,6,149,6,Kolkata Knight Riders,52,0,73,0
233,2019,Eden Gardens,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Chennai Super Kings,191,6,155,8,Royal Challengers Bangalore,36,0,56,0
234,2019,Wankhede Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,Punjab Kings,193,7,132,6,Rajasthan Royals,61,0,64,2
235,2019,M. Chinnaswamy Stadium,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,Punjab Kings,206,4,112,4,Kolkata Knight Riders,94,0,55,0
236,2019,M. Chinnaswamy Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,Rajasthan Royals,166,7,127,7,Punjab Kings,39,0,40,3
237,2019,M. Chinnaswamy Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,Chennai Super Kings,196,9,163,6,Rajasthan Royals,33,0,52,1
238,2019,Wankhede Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,Punjab Kings,Royal Challengers Bangalore,165,6,117,10,Punjab Kings,48,0,92,0
239,2019,Wankhede Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Punjab Kings,Chennai Super Kings,176,9,135,7,Punjab Kings,41,0,91,0
240,2019,Wankhede Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,Punjab Kings,Royal Challengers Bangalore,180,6,117,8,Punjab Kings,63,0,76,3
241,2019,M. Chinnaswamy Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Chennai Super Kings,Mumbai Indians,202,6,131,5,Chennai Super Kings,71,0,86,1
242,2019,Sawai Mansingh Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,Chennai Super Kings,204,6,143,4,Delhi Capitals,61,0,38,0
243,2019,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Kolkata Knight Riders,Rajasthan Royals,187,4,133,3,Kolkata Knight Riders,54,0,44,3
244,2019,Rajiv Gandhi Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Mumbai Indians,Delhi Capitals,180,8,125,8,Mumbai Indians,55,0,35,3
245,2019,Punjab Cricket Association Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,Sunrisers Hyderabad,191,7,88,10,Mumbai Indians,103,0,47,0
246,2019,Wankhede Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,Delhi Capitals,183,9,162,3,Chennai Super Kings,21,0,78,3
247,2019,M. Chinnaswamy Stadium,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Kings,Kolkata Knight Riders,177,5,118,3,Punjab Kings,59,0,49,2
248,2019,Rajiv Gandhi Stadium,Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,Punjab Kings,192,9,102,7,Delhi Capitals,90,0,34,2
249,2019,Sawai Mansingh Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Mumbai Indians,190,6,114,8,Royal Challengers Bangalore,76,0,76,2
250,2019,Rajiv Gandhi Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,Rajasthan Royals,200,4,128,3,Punjab Kings,72,0,37,1
251,2019,M. Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,Royal Challengers Bangalore,188,6,149,3,Rajasthan Royals,39,0,32,1
252,2019,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Rajasthan Royals,Punjab Kings,173,7,101,5,Rajasthan Royals,72,0,59,0
253,2019,Punjab Cricket Association Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,Delhi Capitals,217,6,117,8,Kolkata Knight Riders,100,0,80,3
254,2019,M. Chinnaswamy Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,Chennai Super Kings,188,6,153,3,Rajasthan Royals,35,0,39,3
255,2019,Sawai Mansingh Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Royal Challengers Bangalore,Sunrisers Hyderabad,204,8,117,9,Royal Challengers Bangalore,87,0,54,3
256,2019,M.A. Chidambaram Stadium,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Punjab Kings,Mumbai Indians,175,7,142,7,Punjab Kings,33,0,69,2
257,2019,Eden Gardens,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Royal Challengers Bangalore,Punjab Kings,169,4,98,5,Royal Challengers Bangalore,71,0,45,1
258,2019,Arun Jaitley Stadium,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,201,10,112,10,Kolkata Knight Riders,89,0,37,2
259,2019,Wankhede Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Kolkata Knight Riders,190,6,139,7,Royal Challengers Bangalore,51,0,31,0
260,2019,Arun Jaitley Stadium,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings,Punjab Kings,198,4,87,7,Chennai Super Kings,111,0,33,1
261,2019,Rajiv Gandhi Stadium,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Chennai Super Kings,Kolkata Knight Riders,188,8,120,7,Chennai Super Kings,68,0,50,1
262,2019,M. Chinnaswamy Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,Mumbai Indians,222,8,174,7,Chennai Super Kings,48,0,92,1
263,2019,Wankhede Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Rajasthan Royals,191,9,122,5,Royal Challengers Bangalore,69,0,64,2
264,2019,Arun Jaitley Stadium,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Rajasthan Royals,Kolkata Knight Riders,160,9,99,6,Rajasthan Royals,61,0,52,0
265,2019,M.A. Chidambaram Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Kolkata Knight Riders,176,5,128,9,Royal Challengers Bangalore,48,0,65,1
266,2019,Rajiv Gandhi Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Punjab Kings,190,6,134,7,Sunrisers Hyderabad,56,0,38,2
267,2019,Rajiv Gandhi Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,Rajasthan Royals,202,5,128,7,Kolkata Knight Riders,74,0,77,2
268,2019,Punjab Cricket Association Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,Mumbai Indians,190,5,156,3,Kolkata Knight Riders,34,0,82,0
269,2019,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Kolkata Knight Riders,Mumbai Indians,191,9,145,6,Kolkata Knight Riders,46,0,85,0
270,2019,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,Sunrisers Hyderabad,174,9,110,3,Mumbai Indians,64,0,47,2
271,2019,Arun Jaitley Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,Rajasthan Royals,190,8,116,8,Delhi Capitals,74,0,49,3
272,2019,Sawai Mansingh Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,Punjab Kings,175,7,80,5,Chennai Super Kings,95,0,59,2
273,2019,M.A. Chidambaram Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,Sunrisers Hyderabad,158,5,132,7,Delhi Capitals,26,0,74,1
274,2019,Punjab Cricket Association Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,Punjab Kings,182,8,106,4,Sunrisers Hyderabad,76,0,46,3
275,2019,M.A. Chidambaram Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Punjab Kings,Chennai Super Kings,185,6,115,8,Punjab Kings,70,0,45,3
276,2019,Sawai Mansingh Stadium,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Kings,Kolkata Knight Riders,219,5,162,6,Punjab Kings,57,0,52,1
277,2019,Eden Gardens,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,Delhi Capitals,191,9,140,7,Mumbai Indians,51,0,56,3
278,2019,Punjab Cricket Association Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,204,4,163,6,Sunrisers Hyderabad,41,0,37,0
